project,relative_path,file,mode,llm,complexity,ncloc,cognitive_complexity,complexity_per_100_ncloc
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,21,65,29,32.3077
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,1,19,2,5.2632
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,14,50,10,28.0000
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,3,32,3,9.3750
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,41,173,46,23.6994
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_autonomous_codex.py,GENAIGREENML_autonomous_codex.py,autonomous,codex,52,160,65,32.5000
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_autonomous_gemini.py,GENAIGREENML_autonomous_gemini.py,autonomous,gemini,17,85,28,20
HWStudentGradPredictor,HWStudentGradPredictor/GENAIGREENML_original_telemetry_chatgpt.py,GENAIGREENML_original_telemetry_chatgpt.py,original,baseline,2,22,1,9.0909
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_chatgpt.py,GENAIGREENML_assisted_chatgpt.py,assisted,chatgpt,9,52,6,17.3077
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_claude.py,GENAIGREENML_assisted_claude.py,assisted,claude,2,24,1,8.3333
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_codex.py,GENAIGREENML_assisted_codex.py,assisted,codex,21,72,22,29.1667
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_assisted_gemini.py,GENAIGREENML_assisted_gemini.py,assisted,gemini,2,26,2,7.6923
IMDB-Sentiment-Analysis,IMDB-Sentiment-Analysis/GENAIGREENML_autonomous_chatgpt.py,GENAIGREENML_autonomous_chatgpt.py,autonomous,chatgpt,69,212,98,32.5472
